Var1,Freq,,LEVEL
MI,295,2.95,3
KS,1000,10,10
MS,177,1.77,2
NY,1000,10,10
MA,512,5.12,6
Se,189,1.89,2
MO,367,3.67,4
Ir,60,0.6,1
MD,342,3.42,4
WV,111,1.11,2
De,143,1.43,2
FL,632,6.32,7
VT,33,0.33,1
OR,477,4.77,5
US,1000,10,10
IN,332,3.32,4
Mi,126,1.26,2
VA,370,3.7,4
Ca,485,4.85,5
CO,325,3.25,4
TX,1000,10,10
PA,702,7.02,8
La,18,0.18,1
IL,851,8.51,9
NV,166,1.66,2
CA,1000,10,10
UK,112,1.12,2
ON,782,7.82,8
OK,494,4.94,5
WA,266,2.66,3
NE,185,1.85,2
Sa,41,0.41,1
AZ,259,2.59,3
WI,269,2.69,3
MN,278,2.78,3
GA,661,6.61,7
TN,377,3.77,4
LA,483,4.83,5
SC,209,2.09,3
St,147,1.47,2
NH,80,0.8,1
QC,47,0.47,1
Po,27,0.27,1
NC,406,4.06,5
OH,644,6.44,7
ID,42,0.42,1
Ri,43,0.43,1
CT,190,1.9,2
42,4,0.04,1
KY,270,2.7,3
DC,285,2.85,3
AB,565,5.65,6
Mc,59,0.59,1
AL,306,3.06,4
IA,178,1.78,2
22,9,0.09,1
NJ,201,2.01,3
Co,127,1.27,2
Sw,18,0.18,1
Ta,27,0.27,1
MT,85,0.85,1
AR,600,6,6
28,8,0.08,1
NM,700,7,7
Ba,3,0.03,1
ME,97,0.97,1
SK,48,0.48,1
Me,25,0.25,1
Su,1,0.01,1
RI,36,0.36,1
BC,35,0.35,1
UT,103,1.03,2
SD,50,0.5,1
An,3,0.03,1
Ne,11,0.11,1
Fi,13,0.13,1
Ph,7,0.07,1
DF,11,0.11,1
No,20,0.2,1
Th,19,0.19,1
ND,51,0.51,1
Un,33,0.33,1
Fo,5,0.05,1
Cr,6,0.06,1
MB,80,0.8,1
37,1,0.01,1
Ge,4,0.04,1
Ho,7,0.07,1
Ch,16,0.16,1
Be,23,0.23,1
Na,4,0.04,1
Ke,1,0.01,1
er,3,0.03,1
Ma,7,0.07,1
Wo,13,0.13,1
DE,38,0.38,1
Ra,11,0.11,1
98,3,0.03,1
At,30,0.3,1
Ef,1,0.01,1
Pa,5,0.05,1
WY,12,0.12,1
77,1,0.01,1
82,2,0.02,1
50,3,0.03,1
80,3,0.03,1
Lo,6,0.06,1
Le,12,0.12,1
NL,3,0.03,1
99,2,0.02,1
Da,4,0.04,1
Ut,1,0.01,1
78,6,0.06,1
Bo,4,0.04,1
Je,16,0.16,1
Zo,5,0.05,1
Ed,3,0.03,1
0,6,0.06,1
a ,1,0.01,1
Do,3,0.03,1
45,10,0.1,1
Ce,12,0.12,1
PE,1,0.01,1
Ka,17,0.17,1
72,5,0.05,1
Gr,4,0.04,1
36,1,0.01,1
It,1,0.01,1
AK,8,0.08,1
61,1,0.01,1
53,1,0.01,1
So,1,0.01,1
44,2,0.02,1
Sh,2,0.02,1
Fr,1,0.01,1
Ve,3,0.03,1
Mo,3,0.03,1
Re,1,0.01,1
Au,10,0.1,1
Bl,8,0.08,1
Ja,4,0.04,1
Ki,13,0.13,1
Cu,1,0.01,1
39,1,0.01,1
89,3,0.03,1
He,5,0.05,1
83,1,0.01,1
67,4,0.04,1
We,1,0.01,1
Wi,9,0.09,1
96,1,0.01,1
88,2,0.02,1
Al,1,0.01,1
94,2,0.02,1
54,1,0.01,1
Va,3,0.03,1
Tr,1,0.01,1
20,2,0.02,1
87,1,0.01,1
HI,3,0.03,1
Br,3,0.03,1
,2,0.02,1
Mu,7,0.07,1
66,1,0.01,1
64,1,0.01,1
47,2,0.02,1
Dg,1,0.01,1
Il,1,0.01,1
Us,1,0.01,1
Tu,4,0.04,1
Qu,1,0.01,1
95,1,0.01,1
Wa,2,0.02,1
Ic,3,0.03,1
38,2,0.02,1
Te,2,0.02,1
23,1,0.01,1
5,1,0.01,1
Za,1,0.01,1
ho,1,0.01,1
Dr,2,0.02,1
76,1,0.01,1
62,1,0.01,1
Pr,1,0.01,1
97,1,0.01,1
Ro,1,0.01,1
57,1,0.01,1
Di,1,0.01,1
