"Var1","Freq"
"OR",28
"ON",26
"MA",92
"US",45
"AB",6
"TX",53
"Se",10
"98",16
"Ca",12
"Zo",17
"42",24
"IL",20
"OK",8
"KS",99
"CA",102
"MN",17
"GA",40
"St",12
"78",16
"NY",51
"OH",30
"Me",65
"IA",23
"PA",20
"WI",13
"45",19
"72",10
"Co",13
"AL",3
"FL",15
"CO",13
"Mi",7
"De",7
"WA",23
"CT",15
"24",1
"MD",18
"KY",13
"NH",4
"Po",2
"48",2
"Ef",2
"Sa",35
"NJ",13
"93",1
"MB",2
"28",3
"RI",2
"37",1
"La",1
"DC",31
"ME",4
"Do",1
"88",7
"69",1
"UT",13
"VT",3
"Ne",3
"er",6
"36",4
"Oa",6
"NV",8
"IN",9
"VA",21
"MO",11
"NC",16
"UK",2
"Fi",8
"He",5
"Ri",1
"73",2
"29",1
"04",1
"AZ",7
"77",2
"67",3
"33",3
"Ce",3
"At",2
"62",2
"89",3
"Ma",1
"27",4
"Ta",3
"87",4
"MI",11
"47",1
"AR",2
"LA",5
"22",10
"Xa",2
"SC",5
"WV",17
"Ir",4
"Na",1
"Ar",1
"MT",1
"ID",1
"39",5
"Ch",1
"Sw",2
"MS",1
"ND",3
"NM",1
"Ki",1
"NE",4
"DE",5
"97",2
"50",5
"96",1
"79",1
"ho",3
"80",1
"TN",2
"16",1
"Mc",1
"Pi",1
"SD",3
"WY",1
"38",3
"It",1
"Ra",2
"QC",1
"Lo",1
"No",1
"Th",1
"00",1
"63",1
"Wo",1
"70",1
